date,feature_index,NO2
2025-12-15T00:00:00.000Z,0,3.9420418033842E-5
2025-12-10T00:00:00.000Z,0,
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,9.09606387722306E-5
2025-12-12T00:00:00.000Z,0,7.91476559243165E-5
2025-12-13T00:00:00.000Z,0,
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2026-05-21T00:00:00.000Z,0,
2026-05-19T00:00:00.000Z,0,
2026-05-23T00:00:00.000Z,0,1.274047917831922E-5
2026-05-25T00:00:00.000Z,0,
2026-05-26T00:00:00.000Z,0,
2026-05-20T00:00:00.000Z,0,6.359268445521593E-5
2026-05-22T00:00:00.000Z,0,6.59327779430896E-5
2026-05-24T00:00:00.000Z,0,
2026-04-21T00:00:00.000Z,0,
2026-04-20T00:00:00.000Z,0,1.984491063922178E-5
2026-04-19T00:00:00.000Z,0,6.184890662552789E-5
2026-04-22T00:00:00.000Z,0,
2026-04-18T00:00:00.000Z,0,6.865696923341602E-5
2026-04-17T00:00:00.000Z,0,9.227323971572332E-6
2026-04-24T00:00:00.000Z,0,
2026-04-23T00:00:00.000Z,0,
2026-08-10T00:00:00.000Z,0,5.801598308607936E-5
2026-08-07T00:00:00.000Z,0,2.2721900677424856E-5
2026-08-09T00:00:00.000Z,0,9.634211892262101E-6
2026-08-08T00:00:00.000Z,0,3.735706559382379E-5
2026-08-13T00:00:00.000Z,0,2.7256264729658142E-5
2026-08-12T00:00:00.000Z,0,1.1285739674349315E-5
2026-08-11T00:00:00.000Z,0,2.961518293886911E-5
2026-08-14T00:00:00.000Z,0,3.555073999450542E-5
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,
2026-01-19T00:00:00.000Z,0,7.755686965538189E-5
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,1.7950123947230168E-5
2026-07-28T00:00:00.000Z,0,1.353331117570633E-5
2026-07-24T00:00:00.000Z,0,2.85721653199289E-5
2026-07-25T00:00:00.000Z,0,3.0127004720270634E-5
2026-07-26T00:00:00.000Z,0,3.497595025692135E-5
2026-07-22T00:00:00.000Z,0,3.631335493992083E-5
2026-07-29T00:00:00.000Z,0,2.469803257554304E-5
2026-07-23T00:00:00.000Z,0,3.735096106538549E-5
2026-07-27T00:00:00.000Z,0,
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,1.0682761057978496E-4
2025-11-23T00:00:00.000Z,0,3.997455496573821E-5
2025-11-18T00:00:00.000Z,0,
2025-11-21T00:00:00.000Z,0,3.803045547101647E-5
2025-11-16T00:00:00.000Z,0,
2026-02-04T00:00:00.000Z,0,5.7325767556903884E-5
2026-02-05T00:00:00.000Z,0,
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,4.775034904014319E-5
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,
2026-05-15T00:00:00.000Z,0,2.5348857889184728E-5
2026-05-17T00:00:00.000Z,0,
2026-05-11T00:00:00.000Z,0,2.230348218290601E-5
2026-05-16T00:00:00.000Z,0,
2026-05-18T00:00:00.000Z,0,
2026-05-12T00:00:00.000Z,0,2.8498903702711686E-5
2026-05-14T00:00:00.000Z,0,3.858426134684123E-5
2026-05-13T00:00:00.000Z,0,2.013810990320053E-5
2025-09-25T00:00:00.000Z,0,2.6059426090796478E-5
2025-09-27T00:00:00.000Z,0,3.6995563277741894E-5
2025-09-23T00:00:00.000Z,0,1.108575306716375E-4
2025-09-24T00:00:00.000Z,0,6.371946074068546E-5
2025-09-21T00:00:00.000Z,0,9.771125405677594E-6
2025-09-22T00:00:00.000Z,0,3.6771387385670096E-5
2025-09-28T00:00:00.000Z,0,1.9518316548783332E-5
2025-09-26T00:00:00.000Z,0,2.746340396697633E-5
2025-11-06T00:00:00.000Z,0,
2025-11-03T00:00:00.000Z,0,
2025-11-05T00:00:00.000Z,0,
2025-10-31T00:00:00.000Z,0,
2025-11-02T00:00:00.000Z,0,
2025-11-04T00:00:00.000Z,0,
2025-11-07T00:00:00.000Z,0,3.926499266526662E-5
2025-11-01T00:00:00.000Z,0,
2026-04-16T00:00:00.000Z,0,2.263740316266194E-5
2026-04-13T00:00:00.000Z,0,5.574814622377744E-6
2026-04-15T00:00:00.000Z,0,5.270095789455809E-5
2026-04-12T00:00:00.000Z,0,
2026-04-10T00:00:00.000Z,0,
2026-04-11T00:00:00.000Z,0,
2026-04-09T00:00:00.000Z,0,
2026-04-14T00:00:00.000Z,0,7.937776899780147E-6
2025-08-25T00:00:00.000Z,0,1.9841905668727122E-5
2025-08-26T00:00:00.000Z,0,3.478596045169979E-5
2025-08-27T00:00:00.000Z,0,8.564512972952798E-5
2025-08-24T00:00:00.000Z,0,
2025-10-18T00:00:00.000Z,0,1.1225884009036236E-5
2025-10-19T00:00:00.000Z,0,3.6822599213337526E-5
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,1.7296250007348135E-5
2025-10-20T00:00:00.000Z,0,
2025-10-15T00:00:00.000Z,0,
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,1.1781626199081074E-5
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,
2025-10-28T00:00:00.000Z,0,
2025-10-30T00:00:00.000Z,0,
